Size of Matrix,Square_Matrix_Multiply,Square_Matrix_Multiply_Recursive,Strassens_Method
2,4.609425862630208e-06,2.5590260823567707e-05,3.902117411295573e-05
3,1.2000401814778646e-05,0.00025852521260579425,0.0003344217936197917
4,1.3987223307291666e-05,0.00021727879842122397,0.0003151893615722656
5,2.384185791015625e-05,0.0017829736073811848,0.002275705337524414
6,3.695487976074219e-05,0.001738150914510091,0.0021507740020751953
7,5.253156026204427e-05,0.0016684532165527344,0.0021810531616210938
8,7.502237955729167e-05,0.0016788641611735027,0.002117713292439779
9,0.00010331471761067708,0.013498385747273764,0.015209118525187174
10,0.000141143798828125,0.013618548711140951,0.01522533098856608
11,0.00018318494160970053,0.013496955235799154,0.015308380126953125
12,0.00023365020751953125,0.013529062271118164,0.015249967575073242
13,0.00029349327087402344,0.01333165168762207,0.0152740478515625
14,0.000356594721476237,0.01324160893758138,0.01519171396891276
15,0.00043702125549316406,0.013226668039957682,0.015194416046142578
16,0.0005243619283040365,0.013115167617797852,0.015138864517211914
17,0.0006198883056640625,0.10953060785929362,0.10868581136067708
18,0.0007503827412923177,0.11605676015218098,0.11388007799784343
19,0.0013036727905273438,0.12598292032877603,0.12172762552897136
20,0.00103759765625,0.11094403266906738,0.10956096649169922
21,0.0011588732401529949,0.11034131050109863,0.10922845204671223
22,0.0013341108957926433,0.11012538274129231,0.10964751243591309
23,0.0015311241149902344,0.1099386215209961,0.10809588432312012
24,0.0017221768697102864,0.1092680295308431,0.10720602671305339
25,0.0019077459971110027,0.10651095708211263,0.10825467109680176
26,0.002147674560546875,0.10659289360046387,0.10926230748494466
27,0.002405087153116862,0.10881002744038899,0.10946949323018391
28,0.00264739990234375,0.10853997866312663,0.10866602261861165
29,0.003033161163330078,0.11138335863749187,0.11361487706502278
30,0.0033261775970458984,0.1088551680246989,0.10968637466430664
31,0.0036329428354899087,0.10872880617777507,0.1108246644337972
32,0.0039128462473551435,0.10751867294311523,0.11016257603963216
33,0.0043070316314697266,0.8772304058074951,0.7566799322764078
34,0.004668474197387695,0.8634076913197836,0.7449332078297933
35,0.005044460296630859,0.8619922002156576,0.7433835665384928
36,0.00551597277323405,0.8607524236043295,0.743643601735433
37,0.005945682525634766,0.8602900505065918,0.7444121837615967
38,0.00644993782043457,0.8598711490631104,0.7417736053466797
39,0.0069760481516520185,0.8597575823465983,0.7425990104675293
40,0.007483243942260742,0.8570829232533773,0.7411859830220541
41,0.008113622665405273,0.8581130504608154,0.7441677252451578
42,0.008678515752156576,0.8582279682159424,0.7446631590525309
43,0.009300867716471354,0.8574188550313314,0.7443428834279379
44,0.009925762812296549,0.8571530183156332,0.744199275970459
45,0.010693550109863281,0.8562932014465332,0.7440004348754883
46,0.01135102907816569,0.8560230731964111,0.7436361312866211
47,0.01215815544128418,0.8586475849151611,0.7477426528930664
48,0.012971878051757812,0.8589817682902018,0.7486849625905355
49,0.013662576675415039,0.8549392223358154,0.757270097732544
50,0.014597018559773764,0.8549133936564127,0.7588868141174316
51,0.015512228012084961,0.8554288546244303,0.757413387298584
